day,tool_a,tool_b,class,n,c_1to1,c_split,c_merge,c_unmatched
Wednesday,argus,tranalyzer,ALL,226800,185491,41257,0,52
Wednesday,argus,tranalyzer,BENIGN,212683,185482,27149,0,52
Wednesday,argus,tranalyzer,DoS Hulk,6004,0,6004,0,0
Wednesday,argus,tranalyzer,DoS Slowhttptest,4217,8,4209,0,0
Wednesday,argus,tranalyzer,DoS slowloris,3895,0,3895,0,0
Wednesday,argus,tranalyzer,Heartbleed,1,1,0,0,0
Wednesday,argus,cicflowmeter-orig,ALL,226800,71677,63932,0,91191
Wednesday,argus,cicflowmeter-orig,BENIGN,212683,71669,49823,0,91191
Wednesday,argus,cicflowmeter-orig,DoS Hulk,6004,0,6004,0,0
Wednesday,argus,cicflowmeter-orig,DoS Slowhttptest,4217,8,4209,0,0
Wednesday,argus,cicflowmeter-orig,DoS slowloris,3895,0,3895,0,0
Wednesday,argus,cicflowmeter-orig,Heartbleed,1,0,1,0,0
Wednesday,argus,cicflowmeter-fixed,ALL,226800,176988,49691,0,121
Wednesday,argus,cicflowmeter-fixed,BENIGN,212683,176980,35582,0,121
Wednesday,argus,cicflowmeter-fixed,DoS Hulk,6004,0,6004,0,0
Wednesday,argus,cicflowmeter-fixed,DoS Slowhttptest,4217,8,4209,0,0
Wednesday,argus,cicflowmeter-fixed,DoS slowloris,3895,0,3895,0,0
Wednesday,argus,cicflowmeter-fixed,Heartbleed,1,0,1,0,0
Wednesday,argus,go-flows,ALL,226800,133684,59699,0,33417
Wednesday,argus,go-flows,BENIGN,212683,133675,45591,0,33417
Wednesday,argus,go-flows,DoS Hulk,6004,0,6004,0,0
Wednesday,argus,go-flows,DoS Slowhttptest,4217,8,4209,0,0
Wednesday,argus,go-flows,DoS slowloris,3895,0,3895,0,0
Wednesday,argus,go-flows,Heartbleed,1,1,0,0,0
Wednesday,argus,yaf,ALL,226800,134141,59179,0,33480
Wednesday,argus,yaf,BENIGN,212683,134132,45071,0,33480
Wednesday,argus,yaf,DoS Hulk,6004,0,6004,0,0
Wednesday,argus,yaf,DoS Slowhttptest,4217,8,4209,0,0
Wednesday,argus,yaf,DoS slowloris,3895,0,3895,0,0
Wednesday,argus,yaf,Heartbleed,1,1,0,0,0
Wednesday,argus,joy,ALL,226800,144342,82427,3,28
Wednesday,argus,joy,BENIGN,212683,144342,68310,3,28
Wednesday,argus,joy,DoS Hulk,6004,0,6004,0,0
Wednesday,argus,joy,DoS Slowhttptest,4217,0,4217,0,0
Wednesday,argus,joy,DoS slowloris,3895,0,3895,0,0
Wednesday,argus,joy,Heartbleed,1,0,1,0,0
Wednesday,go-flows,nfstream,ALL,649827,296373,1,353405,48
Wednesday,go-flows,nfstream,BENIGN,338760,279523,1,59188,48
Wednesday,go-flows,nfstream,DoS GoldenEye,7656,7656,0,0,0
Wednesday,go-flows,nfstream,DoS Hulk,294399,182,0,294217,0
Wednesday,go-flows,nfstream,DoS Slowhttptest,4496,4496,0,0,0
Wednesday,go-flows,nfstream,DoS slowloris,4515,4515,0,0,0
Wednesday,go-flows,nfstream,Heartbleed,1,1,0,0,0
Wednesday,go-flows,zeek,ALL,649827,315980,14267,231228,88352
Wednesday,go-flows,zeek,BENIGN,338760,216876,6709,46558,68617
Wednesday,go-flows,zeek,DoS GoldenEye,7656,7565,73,18,0
Wednesday,go-flows,zeek,DoS Hulk,294399,86293,4507,183901,19698
Wednesday,go-flows,zeek,DoS Slowhttptest,4496,1507,2976,2,11
Wednesday,go-flows,zeek,DoS slowloris,4515,3738,2,749,26
Wednesday,go-flows,zeek,Heartbleed,1,1,0,0,0
Wednesday,go-flows,tranalyzer,ALL,649827,307830,4,269602,72391
Wednesday,go-flows,tranalyzer,BENIGN,338760,220781,4,45974,72001
Wednesday,go-flows,tranalyzer,DoS GoldenEye,7656,7414,0,242,0
Wednesday,go-flows,tranalyzer,DoS Hulk,294399,71959,0,222080,360
Wednesday,go-flows,tranalyzer,DoS Slowhttptest,4496,3935,0,557,4
Wednesday,go-flows,tranalyzer,DoS slowloris,4515,3740,0,749,26
Wednesday,go-flows,tranalyzer,Heartbleed,1,1,0,0,0
Wednesday,go-flows,cicflowmeter-orig,ALL,649827,99729,80853,86565,382680
